Model	Hashrate/T	Efficiency	Price/T	Unit Price	MOQ
S21+	235T	16,5	$16,7	$3.925	1
S21 PRO	234T	15	$20,2	$4.727	1
L9	16.5G	3465W	/	$9.100	1
DG1+	14G	3920W	/	$6.150	1
DG1+	13G	3640W	/	$5.870	1
S21 XP	270T	13,5	$23,6	$6.372	1
S21 PRO	234T	15	$17,0	$3.978	1
S21 PRO	245T	15	$17,0	$4.165	1
T21	190T	19,5	$12,6	$2.394	1
S21+	216T	16,5	$14,0	$3.024	1
S21+	225T	16,5	$13,8	$3.105	1
S21+	235T	16,5	$13,8	$3.243	1
S19K PRO	120	23	$7,1	$852	1
S19K PRO	115T	23	$6,7	$771	1
S19K PRO	110T	23	$6,4	$704	1
S19 XP	141T	21,5	$8,7	$1.227	1
S19J XP	151T	21,5	$8,9	$1.344	1
S19 PRO A	96T	34,5	$5,4	$518	1
A2	220T	16,5	$12,9	$2.838	1
	222T	16,5	$12,9	$2.864	1
	224T	16,5	$13,0	$2.912	1
	226T	16,5	$13,0	$2.938	1
	228T	16,5	$13,0	$2.964	1
	230T	16,5	$13,1	$3.013	1
	234T	16,5	$13,1	$3.065	1
S21+ HYD	358T	15	$14,5	$5.191	1
S21+ HYD	395T	15	$14,7	$5.807	1
S19 XP HYD	257T	20,8	$9,0	$2.313	1
S19E XP HYD	251T	20,8	$8,2	$2.058	1
S19 PRO+ HYD	198T	20,8	$6,8	$1.346	1
S19 PRO+ HYD	191T	20,8	$6,7	$1.280	1
S19 PRO HYD	184T	29,5	$6,6	$1.214	1
S19 PRO HYD	177T	29,5	$6,5	$1.151	1
Avalon Q	90T	1674W	/	$1.380	1
Nano 3S	4T	140W	/	$225	1
MINI 3	37.5T	800W	/	$730	
M50S	120/122/124/126T	26	$6,5		1
M50S	128/134/136T	26	$7,0		1
M50S+	140/142T	24	$8,2		1
M50S++	154/156T	22	$9,2		1
M50S++	158/160/162TT	21	$9,4		1
M60S+	200/202/204T	17	$14,8		1
M61	200-206T	19,9	$11,1		1
M61	208/210T	19,9	$11,3		1
L9	16G	3360W	/	$8.350	1
	16.5G	3465W	/	$8.600	1
	17G	3570W	/	$8.900	1
DG1+	14.4G	4032W	/	$6.050	1
DG1+	14G	3920W	/	$5.870	1
DG HOME1	2.1G	630W	/	$1.230	1
KS5	20T	3000W	/	$1.030	1
KS5 PRO	21T	3150W	/	$1.240	1
KS7	40T	3080W	/	$5.700	1
KS7	30T	3500W	/	$4.350	1
AE0 with PSU	60M	100W	/	$800	1
AE1 Lite	250M	500W	/	$2.270	1
E-AE1M	230M	2000W	/	$2.150	1
